NTA,count,sum,Job created,average_saving
Battery Park City-Lower Manhattan,9,34183361.150000006,0.0,3798151.2388888896
Bushwick South,10,3078000.3099999996,10.0,307800.03099999996
Carroll Gardens-Columbia Street-Red Hook,11,2031523.4000000001,0.0,184683.94545454546
College Point,7,4019755.66,2.0,574250.8085714286
Crown Heights North,9,154520.7,0.0,17168.966666666667
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,10,4373905.0,0.0,437390.5
East New York,9,4121508.6100000003,15.0,457945.40111111116
East Williamsburg,11,1577064.27,0.0,143369.4790909091
Greenpoint,14,2481108.8200000003,0.0,177222.05857142858
Hunters Point-Sunnyside-West Maspeth,75,12045698.97,0.0,160609.31960000002
Hunts Point,13,5169260.84,12.0,397635.44923076924
Manhattanville,9,198275.3,0.0,22030.588888888888
Maspeth,9,187048.58,10.0,20783.175555555554
Mott Haven-Port Morris,14,2238678.18,10.0,159905.58428571429
Queensbridge-Ravenswood-Long Island City,16,7155178.64,0.0,447198.665
SoHo-TriBeCa-Civic Center-Little Italy,5,4954337.93,0.0,990867.5859999999
Springfield Gardens South-Brookville,5,1810144.31,0.0,362028.862
Steinway,7,1790386.17,20.0,255769.45285714284
Sunset Park West,48,6684311.279999999,0.0,139256.485
park-cemetery-etc-Brooklyn,15,551104.92,0.0,36740.328
